X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-1.5396, -0.7546, 8.6328, 14504
-1.5396, -0.7546, 9.0252, 14534
-1.1547, -0.3773, 8.6328, 14565
-1.5396, -0.3773, 9.809999, 14612
-0.7698, -1.1319, 9.0252, 14661
-1.5396, 0, 9.4176, 14692
-1.1547, -0.3773, 9.4176, 14753
-1.1547, -0.3773, 9.809999, 14784
-1.5396, -0.3773, 9.809999, 14814
-1.5396, -0.3773, 10.2024, 14861
-1.9245, 0, 9.809999, 14891
-1.1547, -0.3773, 10.2024, 14937
-1.1547, -0.7546, 9.809999, 14968
-1.1547, -0.7546, 9.4176, 15015
-1.5396, -0.3773, 10.2024, 15063
-1.1547, -0.7546, 9.4176, 15094
-1.1547, -0.3773, 9.4176, 15140
-1.5396, -0.7546, 9.809999, 15171
-1.5396, -0.3773, 9.809999, 15218
-1.9245, -0.7546, 10.5948, 15265
-2.6943, -0.7546, 10.2024, 15299
-3.0792, -0.3773, 9.0252, 15344
-3.4641, -0.7546, 8.6328, 15375
-6.5433, -0.7546, 10.5948, 15421
-6.9282, -0.7546, 8.6328, 15468
-6.1584, -1.8865, 7.848, 15499
-4.6188, 0, 9.4176, 15545
-0.7698, -2.2638, 8.6328, 15577
1.5396, -1.8865, 8.2404, 15622
1.5396, 2.2638, 9.4176, 15669
1.9245, 0.3773, 9.4176, 15700
3.0792, 0.3773, 9.809999, 15748
2.6943, 1.1319, 10.2024, 15779
1.9245, 1.5092, 10.2024, 15824
2.6943, 2.6411, 10.5948, 15871
2.6943, 1.8865, 9.809999, 15901
2.3094, 2.6411, 10.5948, 15947
1.5396, 1.5092, 10.2024, 15979
0.7698, 1.5092, 9.809999, 16026
-0.3849, 2.2638, 10.9872, 16072
-0.3849, 1.8865, 9.809999, 16103
0, 1.5092, 9.809999, 16148
0, 1.8865, 10.2024, 16181
0, 1.8865, 9.0252, 16228
0, 1.5092, 9.4176, 16274
0, 1.8865, 9.809999, 16305
0, 1.5092, 9.809999, 16351
0, 1.5092, 9.4176, 16381
0, 1.5092, 9.809999, 16428
0, 1.5092, 9.809999, 16475
0, 1.8865, 9.809999, 16507
0, 1.5092, 9.809999, 16554
0.3849, 1.5092, 9.4176, 16585
0.3849, 1.5092, 9.809999, 16631
0, 1.8865, 9.809999, 16677
0, 1.8865, 9.809999, 16708
0, 1.8865, 9.809999, 16755
0, 1.8865, 9.809999, 16786
0.3849, 1.5092, 9.809999, 16832
0.7698, 1.5092, 9.4176, 16879
0.7698, 1.5092, 9.4176, 16927
0.7698, 1.5092, 9.809999, 16957
2.3094, 1.1319, 11.772, 16989
7.3131, 1.8865, 13.734, 17050
16.5507, 3.773, 13.734, 17080
28.0977, 3.0184, 14.9112, 17111
24.6336, -2.6411, 0, 17156
-10.0074, -9.4325, -13.3416, 17203
-45.0333, -4.1503, 22.3668, 17235
-25.0185, 11.6963, 13.734, 17281
-8.0829, 6.0368, 5.1012, 17312
-4.2339, -11.6963, 4.7088, 17358
-2.3094, -1.5092, 7.0632, 17405
-4.6188, 0, 12.9492, 17437
-4.2339, 0, 9.0252, 17483
-3.4641, 0.3773, 9.809999, 17515
-2.6943, -0.7546, 10.9872, 17561
-2.3094, 0.7546, 9.0252, 17607
-2.6943, 0.7546, 9.809999, 17638
-2.6943, 0.3773, 9.0252, 17685
-2.6943, 0.3773, 9.4176, 17716
-2.6943, 0.3773, 10.2024, 17764
-2.3094, 0, 9.4176, 17794
-2.6943, 0, 9.4176, 17840
-2.6943, 0, 9.809999, 17888
-2.3094, -0.3773, 9.0252, 17918
-2.6943, 0, 9.809999, 17964
-3.4641, 0.7546, 10.2024, 17995
-4.2339, 0, 9.0252, 18043
-4.2339, -0.3773, 8.2404, 18090
-5.7735, -0.3773, 8.2404, 18121
-4.6188, -1.1319, 7.848, 18166
-4.6188, -1.1319, 9.809999, 18198
-5.0037, -1.1319, 9.809999, 18243
-4.6188, 0.3773, 8.6328, 18291
-2.3094, 0, 9.0252, 18323
-0.3849, -0.3773, 8.2404, 18368
1.5396, 0.3773, 8.6328, 18399
1.5396, 0.7546, 11.3796, 18464
2.3094, 0.3773, 10.2024, 18495
2.6943, 0.7546, 9.809999, 18527
2.6943, 0.7546, 10.5948, 18573
2.6943, 0.7546, 10.9872, 18604
2.6943, 0.7546, 10.2024, 18650
1.9245, 1.1319, 10.9872, 18697
1.9245, 1.8865, 10.2024, 18728
1.9245, 1.1319, 9.0252, 18777
1.9245, 1.1319, 9.0252, 18807
1.5396, 1.5092, 9.4176, 18854
0.7698, 1.5092, 9.809999, 18883
0.3849, 2.2638, 10.5948, 18928
0, 1.8865, 10.5948, 18976
0.3849, 1.8865, 10.2024, 19007
0.3849, 1.8865, 10.2024, 19054
0, 1.8865, 9.809999, 19085
