C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
10391,0,195,0.3766478
10407,0,195,0.3766478
10423,0,195,0.3766478
10441,0,195,0.3766478
10454,0,195,0.3766478
10470,0,195,0.3766478
10497,0,213,0.3766478
10501,0,213,0.3766478
10516,0,213,0.3766478
10532,0,213,0.3766478
10551,0,213,0.3766478
10563,0,213,0.3766478
10579,0,213,0.3766478
10595,0,213,0.3766478
10611,0,213,0.3766478
10626,0,213,0.3766478
10642,0,213,0.3766478
10662,0,213,0.3766478
10673,0,213,0.3766478
10702,0,231,0.3766478
10704,0,231,0.3766478
10720,0,231,0.3766478
10735,0,231,0.3766478
10746,0,231,0.3766478
10769,0,231,0.3766478
10782,0,231,0.3766478
10790,0,231,0.3766478
10813,0,231,0.3766478
10828,0,231,0.3766478
10843,0,231,0.3766478
10859,0,231,0.3766478
10890,0,251,0.4184976
10890,0,251,0.4184976
10906,0,251,0.4184976
10922,0,251,0.4184976
10938,0,251,0.4184976
10952,0,251,0.4184976
10968,0,251,0.4184976
10988,0,251,0.4184976
10999,0,251,0.4184976
11014,0,251,0.4184976
11029,0,251,0.4184976
11045,0,251,0.4184976
11060,0,251,0.4184976
11076,0,251,0.4184976
11104,0,271,0.4184976
11106,0,271,0.4184976
11121,0,271,0.4184976
11137,0,271,0.4184976
11153,0,271,0.4184976
11168,0,271,0.4184976
11184,0,271,0.4184976
11204,0,271,0.4184976
11215,0,271,0.4184976
11230,0,271,0.4184976
11246,0,271,0.4184976
11262,0,271,0.4184976
11277,0,271,0.4184976
11305,0,291,0.4184976
11311,0,291,0.4184976
11324,0,291,0.4184976
11339,0,291,0.4184976
11355,0,291,0.4184976
11370,0,291,0.4184976
11385,0,291,0.4184976
11401,0,291,0.4184976
11420,0,291,0.4184976
11431,0,291,0.4184976
11446,0,291,0.4184976
11462,0,291,0.4184976
11477,0,291,0.4184976
11509,0,313,0.4603474
11510,0,313,0.4603474
11542,0,313,0.4603474
11554,0,313,0.4603474
11569,0,313,0.4603474
11585,0,313,0.4603474
11600,0,313,0.4603474
11615,0,313,0.4603474
11630,0,313,0.4603474
11650,0,313,0.4603474
11661,0,313,0.4603474
11676,0,313,0.4603474
11692,0,313,0.4603474
11720,0,335,0.4603474
11724,0,335,0.4603474
11727,0,335,0.4603474
11759,0,335,0.4603474
11770,0,335,0.4603474
11775,0,335,0.4603474
11801,0,335,0.4603474
11813,0,335,0.4603474
11831,0,335,0.4603474
11847,0,335,0.4603474
11868,0,335,0.4603474
11878,0,335,0.4603474
11906,0,357,0.4603474
11908,0,357,0.4603474
11923,0,357,0.4603474
11939,0,357,0.4603474
11954,0,357,0.4603474
11973,0,357,0.4603474
11986,0,357,0.4603474
12001,0,357,0.4603474
12017,0,357,0.4603474
12028,0,357,0.4603474
12048,0,357,0.4603474
12064,0,357,0.4603474
12084,0,357,0.4603474
12094,0,357,0.4603474
12126,0,380,0.4812722
12140,0,380,0.4812722
12156,0,380,0.4812722
12172,0,380,0.4812722
12194,0,380,0.4812722
12203,0,380,0.4812722
12218,0,380,0.4812722
12234,0,380,0.4812722
12247,0,380,0.4812722
12265,0,380,0.4812722
12280,0,380,0.4812722
12298,0,380,0.4812722
12311,0,380,0.4812722
12326,0,404,0.5021971
12341,0,404,0.5021971
12357,0,404,0.5021971
12372,0,404,0.5021971
12387,0,404,0.5021971
12408,0,404,0.5021971
12418,0,404,0.5021971
12433,0,404,0.5021971
12448,0,404,0.5021971
12464,0,404,0.5021971
12480,0,404,0.5021971
12495,0,404,0.5021971
12515,0,429,0.523122
12526,0,429,0.523122
12540,0,429,0.523122
